code,label,obesity_nq5,low_birth_wgt,male_exp,fem_exp,unemploy,deprivation,obesity_prevalence
E05009626,Old Leake and Wrangle,2 - Quintile 2,9.2,78,82.5,4.7,28.9,29.4
E05009627,St Thomas',2 - Quintile 2,7,76,78.3,4.6,13.1,23.8
E05009628,Skirbeck,1 - Quintile 1 Highest 20%,7.8,74.9,81.6,7.6,28.3,25.8
E05009629,Staniland,2 - Quintile 2,5.7,75.3,80.5,6.2,27,29
E05009630,Station,2 - Quintile 2,8.6,75.4,81.1,11.1,22,29.2
E05009631,Swineshead and Holland Fen,1 - Quintile 1 Highest 20%,6.7,79.7,85.8,4.4,25.7,22.7
E05009632,Trinity,1 - Quintile 1 Highest 20%,7.6,77.2,81.1,6.5,16.7,20.6
E05009633,West,2 - Quintile 2,6,N/A - not available,85.6,2.3,8.6,25
E05009634,Witham,1 - Quintile 1 Highest 20%,7,77.5,85.5,7.6,24.5,22.6
E05009635,Wyberton,3 - Quintile 3,7.1,79.9,82.8,4.4,20.1,24.1
E05009636,Bardney,2 - Quintile 2,5.9,77.6,84.3,3.2,23.4,26.3
E05009637,Caistor and Yarborough,2 - Quintile 2,6.5,80.8,85.5,2.9,13.5,28
E05009638,Cherry Willingham,3 - Quintile 3,3.9,81.6,82.9,2.4,12.6,22.7
E05009639,Dunholme and Welton,2 - Quintile 2,6.5,81.6,85.7,2.6,11.1,25
E05009640,Gainsborough East,2 - Quintile 2,7.6,75.5,80.2,7.1,41.8,27.7
E05009641,Gainsborough North,4 - Quintile 4,7.5,79.8,84.6,6.3,32.9,29.4
E05009642,Gainsborough South-West,3 - Quintile 3,11,72.2,78.1,12.1,56.5,37.5
E05009643,Hemswell,2 - Quintile 2,12.2,78.1,86,4,27,20
E05009644,Kelsey Wold,2 - Quintile 2,8.8,80.8,86.3,2.3,16.6,28.6
E05009645,Lea,2 - Quintile 2,4.7,N/A - not available,81,2.4,13.3,N/A - not available
E05009646,Market Rasen,4 - Quintile 4,7.5,81,83.4,4,17.7,19.1
E05009647,Nettleham,3 - Quintile 3,3,81.9,87.8,1.6,6.7,15.4
E05009648,Saxilby,4 - Quintile 4,3.4,81,84.8,2.5,11.1,23.3
E05009649,Scampton,5 - Quintile 5 Lowest 20%,2.5,84.2,86.9,2,12.2,29.2
E05009650,Scotter and Blyton,4 - Quintile 4,7.3,80.3,81.3,2.3,13.2,26.7
E05009651,Stow,4 - Quintile 4,4.9,79.4,81,1.9,16.6,N/A - not available
E05009652,Sudbrooke,4 - Quintile 4,7.6,81.7,85,1,7.9,23.1
E05009653,Torksey,4 - Quintile 4,10.8,81.1,88.3,3.7,19.2,N/A - not available
E05009654,Waddingham and Spital,4 - Quintile 4,11.8,82.7,85.4,2.5,14.9,N/A - not available
E05009655,Wold View,4 - Quintile 4,9.8,77.8,82.9,4.2,26.6,28.6
E05009689,Bestwood St Albans,2 - Quintile 2,6.1,79.9,82.7,5.1,16,25.8
E05009690,Calverton,2 - Quintile 2,6.6,79.4,83.1,3.3,14.6,25
E05009691,Carlton,2 - Quintile 2,4.6,79.3,82.4,5.1,17.7,22.6
E05009692,Carlton Hill,2 - Quintile 2,6,79.3,82.8,4.5,16.9,23.7
E05009693,Cavendish,2 - Quintile 2,4,78,82.1,4.5,23.3,26.7
E05009694,Colwick,3 - Quintile 3,5.8,N/A - not available,N/A - not available,3.9,13.4,21.1
E05009695,Coppice,5 - Quintile 5 Lowest 20%,6.5,80.8,83.9,4.3,19.7,26.9
E05009696,Daybrook,2 - Quintile 2,6.6,77.4,81.2,5.3,24.6,21.2
E05009697,Dumbles,1 - Quintile 1 Highest 20%,6.2,80.3,83.7,2.1,7.3,26.7
E05009698,Ernehale,1 - Quintile 1 Highest 20%,6.3,80.3,83.8,4.1,19.2,25
E05009699,Gedling,2 - Quintile 2,4.8,81.7,83.7,2.9,10.8,21.1
E05009700,Netherfield,1 - Quintile 1 Highest 20%,3.3,77.4,78.4,6.3,28.5,26.8
E05009701,Newstead Abbey,1 - Quintile 1 Highest 20%,7.5,84.1,85,2.5,9.1,22.2
E05009702,Phoenix,2 - Quintile 2,7.3,78.7,82.5,3.8,14.1,21.2
E05009703,Plains,1 - Quintile 1 Highest 20%,6.6,81.9,86.6,2.7,9.3,14.8
E05009704,Porchester,1 - Quintile 1 Highest 20%,5.2,81.2,83.5,2.6,8.8,22
E05009705,Redhill,1 - Quintile 1 Highest 20%,8,82,81.7,3.7,16.7,21.4
E05009706,Trent Valley,1 - Quintile 1 Highest 20%,6.4,80.7,84.1,2.4,6.7,18.5
E05009707,Woodthorpe,1 - Quintile 1 Highest 20%,4.5,80.3,81.3,2.3,6.6,14.8
E05009708,Abbey,1 - Quintile 1 Highest 20%,4.8,82.7,85.2,1.7,4,15
E05009709,Bingham East,1 - Quintile 1 Highest 20%,1.5,80.3,86.2,2.6,4.3,11.4
E05009710,Bingham West,1 - Quintile 1 Highest 20%,4.7,79,83.2,2.9,9.5,23.7
